id,ocupacao,repetitividade,criatividade_requerida,interacao_humana,complexidade_tecnica,nivel_educacao,risco_automacao
1,desenvolvedor_software,3,9,6,9,5,15.5
2,gerente_administrativo,5,4,8,5,4,45.2
3,analista_marketing,4,7,7,6,5,28.3
4,operador_maquina,9,2,3,3,2,85.7
5,designer_ux,2,10,7,8,5,12.4
6,analista_financeiro,6,5,6,7,6,38.6
7,vendedor,4,6,9,4,4,35.8
8,motorista_caminhao,8,2,4,2,3,78.9
9,cientista_dados,2,9,5,10,6,10.2
10,analista_rh,5,6,8,6,5,32.7
11,engenheiro,3,8,6,9,6,18.3
12,atendente_call,7,3,7,3,3,68.4
13,gerente_produto,3,8,7,7,5,22.1
14,operador_producao,9,1,2,2,2,92.3
15,desenvolvedor_mobile,3,9,5,9,5,14.8
16,consultor_negocios,4,7,9,7,6,25.6
17,advogado,4,6,8,7,6,34.2
18,designer_grafico,3,9,6,7,5,19.7
19,tecnico_manutencao,7,3,5,5,3,62.5
20,engenheiro_dados,2,9,5,10,6,11.3
21,diretor_comercial,3,7,9,8,6,20.4
22,redator,3,9,6,6,5,24.8
23,vigilante,8,2,4,3,2,81.2
24,especialista_ia,1,10,4,10,6,8.1
25,coordenador_qualidade,5,6,7,6,5,38.9
26,gestor_ecommerce,3,8,7,7,5,21.5
27,entregador,8,1,3,2,2,88.6
28,pesquisador,2,10,5,9,6,9.4
29,gerente_projetos,4,7,8,7,5,28.7
30,auxiliar_almoxarifado,9,2,3,3,2,87.3
31,desenvolvedor_apps,3,9,6,9,5,13.9
32,analista_supply,5,6,6,6,5,36.4
33,recepcionista,7,3,8,4,3,65.7
34,arquiteto_cloud,2,9,5,9,6,10.8
35,diretor_estrategia,2,8,9,9,6,16.2
36,produtor_conteudo,3,9,7,7,5,20.9
37,porteiro,9,1,4,2,1,91.5
38,desenvolvedor_blockchain,2,10,4,10,6,9.7
39,controller,5,5,6,7,6,39.8
40,analista_crm,4,7,7,7,5,27.3
41,estoquista,9,2,3,3,2,86.1
42,cientista_dados_senior,1,10,5,10,6,7.8
43,gerente_compliance,4,6,7,7,6,31.5
44,desenvolvedor_frontend,3,8,6,8,5,16.7
45,auxiliar_limpeza,9,1,3,2,1,93.8
46,desenvolvedor_backend,3,9,5,9,5,12.6
47,auditor,5,5,6,7,6,37.2
48,especialista_seo,4,8,6,7,5,23.4
49,montador,9,2,2,3,2,89.7
50,engenheiro_devops,2,9,5,10,6,11.5
51,analista_bi,3,8,6,8,5,19.2
52,seguranca,8,2,5,3,2,79.4
53,gerente_inovacao,2,9,8,8,6,14.3
54,coordenador_planejamento,4,7,7,7,5,29.6
55,especialista_security,2,9,5,9,6,10.4
56,motorista_uber,8,2,5,2,2,82.7
57,analista_growth,3,8,7,8,5,21.8
58,engenheiro_processos,4,7,6,8,6,26.9
59,administrador_infra,3,8,5,9,5,17.1
60,cozinheiro,7,4,6,4,2,58.3
61,engenheiro_ml,1,10,4,10,6,7.2
62,analista_pricing,4,7,6,8,5,25.1
63,porteiro_noturno,9,1,3,2,1,92.6
64,analista_qa,4,7,6,8,5,24.5
65,gerente_trade,4,7,8,7,5,30.2
66,zelador,9,1,3,2,1,94.1
67,arquiteto_integracao,2,9,5,9,6,11.7
68,diretor_ma,2,8,9,9,6,15.8
69,analista_performance,4,8,6,8,5,22.7
70,entregador_motoboy,8,1,4,2,2,90.3
71,engenheiro_iot,2,9,5,10,6,10.1
72,gerente_categoria,4,7,7,7,5,28.9
73,coletor_residuos,9,1,2,2,1,95.2
74,engenheiro_robotica,1,10,4,10,6,6.9
75,coordenador_merchandising,4,7,7,7,5,31.8
76,desenvolvedor_fullstack,2,9,6,9,5,13.2
77,operador_empilhadeira,8,2,3,3,2,84.5
78,arquiteto_api,2,9,5,9,6,11.9
79,gestor_investimentos,3,7,8,8,6,23.6
80,especialista_automation,2,9,5,9,6,12.8
81,jardineiro,8,3,4,3,1,76.8
82,pesquisador_nlp,1,10,4,10,6,7.5
83,diretor_franquias,3,7,9,8,6,21.3
84,engenheiro_pipeline,2,9,5,9,6,11.4
85,sindico,6,4,8,5,3,52.7
86,fisico_quantico,1,10,3,10,6,6.3
87,gerente_expansao,3,8,8,8,6,19.8
88,arquiteto_plataforma,2,9,5,10,6,10.6
89,auxiliar_servicos,9,2,4,3,1,88.9
90,desenvolvedor_arvr,2,10,5,10,6,9.2
91,diretor_omnichannel,3,8,8,8,6,18.5
92,ascensorista,9,1,4,2,1,93.4
93,especialista_edge,2,10,4,10,6,8.7
94,gerente_exportacao,4,7,8,7,6,27.8
95,arquiteto_microservices,2,9,5,10,6,10.9
96,copeira,9,2,5,3,1,85.2
97,engenheiro_observability,2,9,5,10,6,11.1
98,diretor_private_equity,2,8,9,9,6,14.7
99,engenheiro_sre,2,10,5,10,6,9.8
100,almoxarife,9,2,3,3,2,87.9
